,Unnamed: 0,date,days_before,bookings,weather_temp,weather_rain,weather_available,visitors,bookings_increase
7414,7414,2022-05-08,10,1044.0,0.0,0.0,0,3860,2.697318007662836
7415,7415,2022-05-08,21,747.0,0.0,0.0,0,3860,4.167336010709505
7416,7416,2022-05-14,4,2494.0,17.8,1.0,1,4898,1.2766178870356617
7417,7417,2022-05-14,7,1997.0,17.8,1.0,1,4898,2.864414823071427
7418,7418,2022-05-14,10,1723.0,0.0,0.0,0,4898,3.300353530133541
7419,7419,2022-05-14,21,1177.0,0.0,0.0,0,4898,4.538666146851833
7420,7420,2022-05-15,4,1712.0,18.7,0.0,1,3581,1.0917056074766356
7421,7421,2022-05-15,7,1286.0,18.7,0.0,1,3581,1.784603421461897
7422,7422,2022-05-15,10,1148.0,0.0,0.0,0,3581,2.1193379790940767
7423,7423,2022-05-15,21,821.0,0.0,0.0,0,3581,3.361753958587089
7424,7424,2022-05-21,4,2305.0,14.3,0.0,1,4012,0.9519845396929164
7425,7425,2022-05-21,7,1977.0,14.3,0.0,1,4012,1.5746404679210737
7426,7426,2022-05-21,10,1795.0,0.0,0.0,0,4012,2.084630597051914
7427,7427,2022-05-21,21,1234.0,0.0,0.0,0,4012,7.15415108666522
7428,7428,2022-05-22,4,1774.0,17.8,0.0,1,3645,1.0546786922209697
7429,7429,2022-05-22,7,1489.0,17.8,0.0,1,3645,1.447951645399597
7430,7430,2022-05-22,10,1341.0,0.0,0.0,0,3645,1.7181208053691277
7431,7431,2022-05-22,21,924.0,0.0,0.0,0,3645,2.9448051948051948
7432,7432,2022-05-26,4,3703.0,14.8,1.0,1,6099,0.6470429381582501
7433,7433,2022-05-26,7,3170.0,14.8,1.0,1,6099,0.92397476340694
7434,7434,2022-05-26,10,2684.0,0.0,0.0,0,6099,1.272354694485842
7435,7435,2022-05-26,21,1663.0,0.0,0.0,0,6099,2.667468430547204
7436,7436,2022-05-27,4,4161.0,16.6,0.0,1,7239,1.0016967266826848
7437,7437,2022-05-27,7,3696.0,16.6,0.0,1,7239,1.369162087912088
7438,7438,2022-05-27,10,3320.0,0.0,0.0,0,7239,1.6539401903443829
7439,7439,2022-05-27,21,2540.0,0.0,0.0,0,7239,2.5304025423728813
7440,7440,2022-05-28,4,3376.0,12.9,1.0,1,3874,0.5118209131762355
7441,7441,2022-05-28,7,2954.0,12.9,1.0,1,3874,0.8503383555104846
7442,7442,2022-05-28,10,2660.0,0.0,0.0,0,3874,1.1847584629251429
7443,7443,2022-05-28,21,2093.0,0.0,0.0,0,3874,4.158652167064995
7444,7444,2022-05-29,4,1841.0,18.4,0.0,1,3829,1.079847908745247
7445,7445,2022-05-29,7,1507.0,18.4,0.0,1,3829,1.5408095554080956
7446,7446,2022-05-29,10,1304.0,0.0,0.0,0,3829,1.9363496932515336
7447,7447,2022-05-29,21,921.0,0.0,0.0,0,3829,3.1574375678610207
7448,7448,2022-06-02,4,715.0,17.5,0.0,1,1596,1.2321678321678322
7449,7449,2022-06-02,7,652.0,17.5,0.0,1,1596,1.4478527607361964
7450,7450,2022-06-02,10,591.0,0.0,0.0,0,1596,1.700507614213198
7451,7451,2022-06-02,21,452.0,0.0,0.0,0,1596,2.5309734513274336
7452,7452,2022-06-03,4,1481.0,19.1,0.0,1,2386,1.0059226870011695
7453,7453,2022-06-03,7,1393.0,19.1,0.0,1,2386,1.421845542800786
7454,7454,2022-06-03,10,1290.0,0.0,0.0,0,2386,1.7623589441664214
7455,7455,2022-06-03,21,1045.0,0.0,0.0,0,2386,2.733888699020278
7456,7456,2022-06-04,4,3464.0,22.4,0.0,1,5862,1.0214629343202133
7457,7457,2022-06-04,7,2934.0,22.4,0.0,1,5862,1.4321658208365269
7458,7458,2022-06-04,10,2567.0,0.0,0.0,0,5862,1.698855809478166
7459,7459,2022-06-04,21,1986.0,0.0,0.0,0,5862,2.31768385085374
7460,7460,2022-06-05,4,3372.0,24.4,0.0,1,6667,1.370086968540496
7461,7461,2022-06-05,7,2802.0,24.4,0.0,1,6667,1.935575859987684
7462,7462,2022-06-05,10,2478.0,0.0,0.0,0,6667,2.334244609896076
